External Library Name, Link to License, License Name, Binaries using the license.
lz4, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev/NOTICE, BSD-2-Clause, ./goldfish-webrtc-bridge android-emu-metrics.so OpenglRender.so ./nimble_bridge ./emulator-check android-emu-agents.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu-img ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless android-emu-curl.so ./qemu/linux-aarch64/qemu-system-armel emugl_common.so ./emulator ./qemu/linux-aarch64/qemu-system-aarch64, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev
libvpx, https://android.googlesource.com/platform/external/webrtc/+/refs/heads/emu-master-dev/LICENSE, BSD-3-Clause, ./goldfish-webrtc-bridge ./emulator-check OpenglRender.so ./nimble_bridge ./qemu-img ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so, https://android.googlesource.com/platform/external/webrtc/+/refs/heads/emu-master-dev
Qt Gui, https://doc.qt.io/qt-5.12/qtGui-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
uuid, https://spdx.org/licenses/BSD-3-Clause.html, BSD-3-Clause, ./goldfish-webrtc-bridge android-emu-metrics.so OpenglRender.so ./nimble_bridge ./emulator-check android-emu-agents.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu-img ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless android-emu-curl.so ./qemu/linux-aarch64/qemu-system-armel emugl_common.so ./emulator ./qemu/linux-aarch64/qemu-system-aarch64, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/libuuid1-2.25.2-2.tar.xz
Qt Core, https://doc.qt.io/qt-5.12/qtCore-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-armel ./emulator-check, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
address_sorting, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./goldfish-webrtc-bridge ./emulator-check OpenglRender.so ./nimble_bridge ./qemu-img ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
ext4_utils, https://android.googlesource.com/platform/system/extras/+/master/ext4_utils/NOTICE, Apache-2.0, ./goldfish-webrtc-bridge android-emu-metrics.so OpenglRender.so ./nimble_bridge ./emulator-check android-emu-agents.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu-img ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 ./emulator emugl_common.so, https://android.googlesource.com/platform/system/extras/+/master/ext4_utils/
grpc, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./goldfish-webrtc-bridge ./emulator-check OpenglRender.so ./nimble_bridge ./qemu-img ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
tinyobjloader, https://android.googlesource.com/platform/external/tinyobjloader/+/refs/heads/master/LICENSE, MIT, ./goldfish-webrtc-bridge ./emulator-check OpenglRender.so ./nimble_bridge ./qemu-img ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so, https://android.googlesource.com/platform/external/tinyobjloader/+/refs/heads/master
libjpeg, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/jpeg-6b/NOTICE, IJG, ./goldfish-webrtc-bridge ./emulator-check OpenglRender.so ./nimble_bridge ./qemu-img ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/jpeg-6b/
upb, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./goldfish-webrtc-bridge ./emulator-check OpenglRender.so ./nimble_bridge ./qemu-img ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
dtc, https://kernel.googlesource.com/pub/scm/utils/dtc/dtc.git/+/refs/heads/master/README.license, GPL-2.0-or-later, ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel ./emulator-check ./qemu/linux-aarch64/qemu-system-aarch64 ./qemu/linux-aarch64/qemu-system-aarch64-headless, https://kernel.googlesource.com/pub/scm/utils/dtc/dtc.git/+/refs/heads/master/
nlohmann_json, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/json/NOTICE, MIT, ./goldfish-webrtc-bridge ./emulator-check OpenglRender.so ./nimble_bridge ./qemu-img ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qsn ./qemu/linux-aarch64/qemu-system-armel-headless ./qemu/linux-aarch64/qemu-system-armel ./qemu/linux-aarch64/qemu-system-aarch64 emugl_common.so, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/json/
bios, https://android.googlesource.com/platform/external/qemu-pc-bios/+/refs/heads/master/README, LGPL-2.0-or-later, ./emulator, https://android.googlesource.com/platform/external/qemu-pc-bios/+/refs/heads/master/
